level	batch	reading_id	word	reading	meaning	han_viet
n3_basic_drafts	batch_0141_0150	R_0141	地球温暖化	ちきゅうおんだんか	hiện tượng nóng lên toàn cầu	Địa Cầu Ôn Noãn Hóa
n3_basic_drafts	batch_0141_0150	R_0141	深刻	しんこく	nghiêm trọng	Thâm Khắc
n3_basic_drafts	batch_0141_0150	R_0141	食物連鎖	しょくもつれんさ	chuỗi thức ăn	Thực Vật Liên Tỏa
n3_basic_drafts	batch_0141_0150	R_0141	影響	えいきょう	ảnh hưởng	Ảnh Hưởng
n3_basic_drafts	batch_0141_0150	R_0141	意識	いしき	ý thức	Ý Thức
n3_basic_drafts	batch_0141_0150	R_0141	努力	どりょく	nỗ lực, cố gắng	Nỗ Lực
n3_basic_drafts	batch_0141_0150	R_0141	解決	かいけつ	giải quyết	Giải Quyết
n3_basic_drafts	batch_0141_0150	R_0141	生き物	いきもの	sinh vật, sinh linh	Sanh Vật
n3_basic_drafts	batch_0141_0150	R_0141	分別	ぶんべつ	phân loại (rác)	Phân Biệt
n3_basic_drafts	batch_0141_0150	R_0142	敬語	けいご	kính ngữ	Kính Ngữ
n3_basic_drafts	batch_0141_0150	R_0142	先輩	せんぱい	đàn anh/chị, người đi trước	Tiên Bối
n3_basic_drafts	batch_0141_0150	R_0142	丁寧	ていねい	tận tình, chu đáo	Đinh Ninh
n3_basic_drafts	batch_0141_0150	R_0142	やりがい	やりがい	ý nghĩa/niềm vui trong công việc	
n3_basic_drafts	batch_0141_0150	R_0142	迷惑	めいわく	phiền toái, gây phiền	Mê Hoặc
n3_basic_drafts	batch_0141_0150	R_0142	習慣	しゅうかん	thói quen	Tập Quán
n3_basic_drafts	batch_0141_0150	R_0142	遅刻	ちこく	đến muộn, trễ giờ	Trì Khắc
n3_basic_drafts	batch_0141_0150	R_0142	社会	しゃかい	xã hội	Xã Hội
n3_basic_drafts	batch_0141_0150	R_0143	提供	ていきょう	cung cấp	Đề Cung
n3_basic_drafts	batch_0141_0150	R_0143	公共料金	こうきょうりょうきん	phí công cộng (điện, nước, gas...)	Công Cộng Liêu Kim
n3_basic_drafts	batch_0141_0150	R_0143	取り扱う	とりあつかう	xử lý, cung cấp (dịch vụ)	Thủ Tráp
n3_basic_drafts	batch_0141_0150	R_0143	申請書類	しんせいしょるい	giấy tờ đơn xin	Thân Thỉnh Thư Loại
n3_basic_drafts	batch_0141_0150	R_0143	陳列	ちんれつ	trưng bày, bày biện	Trần Liệt
n3_basic_drafts	batch_0141_0150	R_0143	季節限定	きせつげんてい	giới hạn theo mùa	Quý Tiết Hạn Định
n3_basic_drafts	batch_0141_0150	R_0143	豊富	ほうふ	phong phú, dồi dào	Phong Phú
n3_basic_drafts	batch_0141_0150	R_0143	観光客	かんこうきゃく	khách du lịch	Quan Quang Khách
n3_basic_drafts	batch_0141_0150	R_0144	語彙	ごい	vốn từ vựng	Ngữ Vị
n3_basic_drafts	batch_0141_0150	R_0144	集中力	しゅうちゅうりょく	khả năng tập trung	Tập Trung Lực
n3_basic_drafts	batch_0141_0150	R_0144	モチベーション	もちべーしょん	động lực	
n3_basic_drafts	batch_0141_0150	R_0144	完璧	かんぺき	hoàn hảo	Hoàn Bích
n3_basic_drafts	batch_0141_0150	R_0144	長続き	ながつづき	duy trì lâu dài	Trường Tục
n3_basic_drafts	batch_0141_0150	R_0144	コツ	こつ	bí quyết, mẹo	
n3_basic_drafts	batch_0141_0150	R_0144	活用	かつよう	tận dụng, sử dụng có hiệu quả	Hoạt Dụng
n3_basic_drafts	batch_0141_0150	R_0144	目次	もくじ	mục lục	Mục Thứ
n3_basic_drafts	batch_0141_0150	R_0145	欠かせない	かかせない	không thể thiếu	Khiếm
n3_basic_drafts	batch_0141_0150	R_0145	翻訳	ほんやく	dịch thuật	Phiên Dịch
n3_basic_drafts	batch_0141_0150	R_0145	傾向	けいこう	xu hướng	Khuynh Hướng
n3_basic_drafts	batch_0141_0150	R_0145	睡眠	すいみん	giấc ngủ	Thụy Miên
n3_basic_drafts	batch_0141_0150	R_0145	失礼	しつれい	thiếu lịch sự, bất lịch sự	Thất Lễ
n3_basic_drafts	batch_0141_0150	R_0145	味方	みかた	người đồng minh, người ủng hộ	Vị Phương
n3_basic_drafts	batch_0141_0150	R_0145	SNS疲れ	えすえぬえすつかれ	mệt mỏi vì mạng xã hội	Bì
n3_basic_drafts	batch_0141_0150	R_0145	デジタルデトックス	でじたるでとっくす	digital detox — ngắt kết nối khỏi thiết bị số	
n3_basic_drafts	batch_0141_0150	R_0146	大みそか	おおみそか	đêm giao thừa (31/12)	Đại
n3_basic_drafts	batch_0141_0150	R_0146	長寿	ちょうじゅ	trường thọ, sống lâu	Trường Thọ
n3_basic_drafts	batch_0141_0150	R_0146	初詣	はつもうで	lễ đầu năm (lần đầu thăm đền/chùa)	Sơ Nghệ
n3_basic_drafts	batch_0141_0150	R_0146	お年玉	おとしだま	tiền lì xì ngày Tết	Niên Ngọc
n3_basic_drafts	batch_0141_0150	R_0146	おせち料理	おせちりょうり	món ăn truyền thống ngày Tết Nhật	Liêu Lí
n3_basic_drafts	batch_0141_0150	R_0146	多様	たよう	đa dạng	Đa Dạng
n3_basic_drafts	batch_0141_0150	R_0146	紅白歌合戦	こうはくうたがっせん	chương trình ca nhạc cuối năm NHK (Kohaku Utagassen)	Hồng Bạch Ca Hợp Chiến
n3_basic_drafts	batch_0141_0150	R_0146	習慣	しゅうかん	phong tục, thói quen	Tập Quán
n3_basic_drafts	batch_0141_0150	R_0147	健康診断	けんこうしんだん	khám sức khỏe định kỳ	Kiện Khang Chẩn Đoạn
n3_basic_drafts	batch_0141_0150	R_0147	血圧	けつあつ	huyết áp	Huyết Áp
n3_basic_drafts	batch_0141_0150	R_0147	運動不足	うんどうぶそく	thiếu vận động	Vận Động Bất Túc
n3_basic_drafts	batch_0141_0150	R_0147	息切れ	いきぎれ	hụt hơi, thở dốc	Tức Thiết
n3_basic_drafts	batch_0141_0150	R_0147	顔なじみ	かおなじみ	quen mặt nhau	Nhan
n3_basic_drafts	batch_0141_0150	R_0147	すっきり	すっきり	thông suốt, thoải mái, sảng khoái	
n3_basic_drafts	batch_0141_0150	R_0147	距離	きょり	khoảng cách, quãng đường	Cự Li
