level	batch	reading_id	word	reading	meaning	han_viet
native_basic_drafts	batch_0641_0650	R_0641	予感	よかん	linh cảm, cảm giác báo trước	Dư Cảm
native_basic_drafts	batch_0641_0650	R_0641	水平線の彼方	すいへいせんのかなた	phía xa bên kia đường chân trời	Thủy Bình Tuyến Bỉ Phương
native_basic_drafts	batch_0641_0650	R_0641	歪む	ゆがむ	bị méo mó, bị biến dạng	Oai
native_basic_drafts	batch_0641_0650	R_0641	刻まれる	きざまれる	được khắc vào, được in sâu	Khắc
native_basic_drafts	batch_0641_0650	R_0641	背表紙	せびょうし	gáy sách (phần lưng của cuốn sách)	Bối Biểu Chỉ
native_basic_drafts	batch_0641_0650	R_0641	埃	ほこり	bụi bẩn	Ai
native_basic_drafts	batch_0641_0650	R_0641	方便	ほうべん	cái cớ, phương tiện biện hộ, lý do che đậy	Phương Tiện
native_basic_drafts	batch_0641_0650	R_0641	境界線	きょうかいせん	ranh giới, đường phân cách	Cảnh Giới Tuyến
native_basic_drafts	batch_0641_0650	R_0641	実感する	じっかんする	thực sự cảm nhận, cảm thấy thực tế	Thực Cảm
native_basic_drafts	batch_0641_0650	R_0641	輪郭	りんかく	đường viền, hình dáng bên ngoài	Luân Quách
native_basic_drafts	batch_0641_0650	R_0641	カウンター	カウンター	quầy (thư viện, quán bar)	
native_basic_drafts	batch_0641_0650	R_0641	魔法的写実主義	まほうてきしゃじつしゅぎ	chủ nghĩa hiện thực huyền ảo, magical realism	Ma Pháp Đích Tả Thực Chủ Nghĩa
native_basic_drafts	batch_0641_0650	R_0641	比喩	ひゆ	ẩn dụ, so sánh tu từ	Bỉ Dụ
native_basic_drafts	batch_0641_0650	R_0641	内省	ないせい	sự nội tâm, tự nhìn vào bên trong	Nội Tỉnh
native_basic_drafts	batch_0641_0650	R_0641	象徴	しょうちょう	biểu tượng, symbol	Tượng Trưng
native_basic_drafts	batch_0641_0650	R_0641	タフ	タフ	cứng rắn, dẻo dai (tough)	
native_basic_drafts	batch_0641_0650	R_0641	見知らぬ	みしらぬ	xa lạ, chưa quen biết	Kiến Tri
native_basic_drafts	batch_0641_0650	R_0642	気候変動	きこうへんどう	biến đổi khí hậu	Khí Hậu Biến Động
native_basic_drafts	batch_0641_0650	R_0642	科学的コンセンサス	かがくてきコンセンサス	đồng thuận khoa học, scientific consensus	Khoa Học Đích
native_basic_drafts	batch_0641_0650	R_0642	温室効果ガス	おんしつこうかガス	khí nhà kính, greenhouse gas	Ôn Thất Hiệu Quả
native_basic_drafts	batch_0641_0650	R_0642	生態系	せいたいけい	hệ sinh thái, ecosystem	Sanh Thái Hệ
native_basic_drafts	batch_0641_0650	R_0642	炭素中立	たんそちゅうりつ	trung hòa carbon, carbon neutral	Thán Tố Trung Lập
native_basic_drafts	batch_0641_0650	R_0642	脱炭素化	だつたんそか	phi carbon hóa, decarbonization	Thoát Thán Tố Hóa
native_basic_drafts	batch_0641_0650	R_0642	再生可能エネルギー	さいせいかのうエネルギー	năng lượng tái tạo, renewable energy	Tái Sanh Khả Năng
native_basic_drafts	batch_0641_0650	R_0642	公正な移行	こうせいないこう	quá độ công bằng, just transition	Công Chánh Di Hành
native_basic_drafts	batch_0641_0650	R_0642	激甚化	げきじんか	ngày càng dữ dội hơn, trở nên khốc liệt hơn	Kích Thậm Hóa
native_basic_drafts	batch_0641_0650	R_0642	白化現象	はっかげんしょう	hiện tượng tẩy trắng (san hô), bleaching phenomenon	Bạch Hóa Hiện Tượng
native_basic_drafts	batch_0641_0650	R_0642	適応策	てきおうさく	biện pháp thích ứng, adaptation measures	Thích Ứng Sách
native_basic_drafts	batch_0641_0650	R_0642	難民問題	なんみんもんだい	vấn đề người tị nạn, refugee issue	Nan Dân Vấn Đề
native_basic_drafts	batch_0641_0650	R_0642	技術移転	ぎじゅついてん	chuyển giao công nghệ, technology transfer	Kĩ Thuật Di Chuyển
native_basic_drafts	batch_0641_0650	R_0642	気候ガバナンス	きこうガバナンス	quản trị khí hậu, climate governance	Khí Hậu
native_basic_drafts	batch_0641_0650	R_0642	パリ協定	パリきょうてい	Thỏa thuận Paris, Paris Agreement	Hiệp Định
native_basic_drafts	batch_0641_0650	R_0642	歴史的責任	れきしてきせきにん	trách nhiệm lịch sử, historical responsibility	Lịch Sử Đích Trách Nhâm
