level	batch	reading_id	word	reading	meaning	han_viet
n2_advanced_drafts	batch_0461_0470	R_0461	象徴	しょうちょう	biểu tượng	Tượng Trưng
n2_advanced_drafts	batch_0461_0470	R_0461	即座に	そくざに	ngay lập tức	Tức Tọa
n2_advanced_drafts	batch_0461_0470	R_0461	無意識	むいしき	vô thức	Vô Ý Thức
n2_advanced_drafts	batch_0461_0470	R_0461	精神分析	せいしんぶんせき	phân tâm học	Tinh Thần Phân Tích
n2_advanced_drafts	batch_0461_0470	R_0461	特筆すべき	とくひつすべき	đáng được đặc biệt ghi chú, nổi bật đáng chú ý	Đặc Bút
n2_advanced_drafts	batch_0461_0470	R_0461	幻想	げんそう	ảo giác, huyễn tưởng	Huyễn Tưởng
n2_advanced_drafts	batch_0461_0470	R_0461	内省	ないせい	tự chiêm nghiệm, tự soi xét nội tâm	Nội Tỉnh
n2_advanced_drafts	batch_0461_0470	R_0461	擬人法	ぎじんほう	phép nhân hóa (kỹ thuật văn học)	Nghĩ Nhân Pháp
n2_advanced_drafts	batch_0461_0470	R_0461	投影する	とうえいする	chiếu rọi, phóng chiếu (cảm xúc lên thứ khác)	Đầu Ảnh
n2_advanced_drafts	batch_0461_0470	R_0461	有機的	ゆうきてき	hữu cơ, gắn kết nội tại với nhau	Hữu Ki Đích
n2_advanced_drafts	batch_0461_0470	R_0461	重層的	じゅうそうてき	nhiều tầng lớp, đa tầng	Trọng Tằng Đích
n2_advanced_drafts	batch_0461_0470	R_0461	喪失	そうしつ	mất mát, sự đánh mất	Tang Thất
n2_advanced_drafts	batch_0461_0470	R_0462	擬人法	ぎじんほう	phép nhân hoá (修辞技法)	Nghĩ Nhân Pháp
n2_advanced_drafts	batch_0461_0470	R_0462	眩しい	まぶしい	chói sáng, rực rỡ	Mãn
n2_advanced_drafts	batch_0461_0470	R_0462	そびやかす	そびやかす	vươn cao, nhô lên kiêu ngạo	
n2_advanced_drafts	batch_0461_0470	R_0462	路地裏	ろじうら	ngõ hẻm sau lưng phố	Lộ Địa Lí
n2_advanced_drafts	batch_0461_0470	R_0462	賑やか	にぎやか	nhộn nhịp, sôi động	Tấn
n2_advanced_drafts	batch_0461_0470	R_0462	アスファルト	アスファルト	nhựa đường, asphalt	
n2_advanced_drafts	batch_0461_0470	R_0462	苛立ち	いらだち	sự bực bội, khó chịu	Hà Lập
n2_advanced_drafts	batch_0461_0470	R_0462	クラクション	クラクション	còi xe	
n2_advanced_drafts	batch_0461_0470	R_0462	脈打つ	みゃくうつ	đập mạch, nhịp đập (như tim)	Mạch Đả
n2_advanced_drafts	batch_0461_0470	R_0462	廃墟	はいきょ	đống đổ nát, phế tích	Phế Khư
n2_advanced_drafts	batch_0461_0470	R_0462	栄光	えいこう	vinh quang, vẻ vang	Vinh Quang
n2_advanced_drafts	batch_0461_0470	R_0462	スクランブル交差点	スクランブルこうさてん	ngã tư Scramble (người qua theo mọi hướng)	Giao Soa Điểm
n2_advanced_drafts	batch_0461_0470	R_0462	霧雨	きりさめ	mưa bụi, mưa phùn	Vụ Vũ
n2_advanced_drafts	batch_0461_0470	R_0462	輪郭	りんかく	đường nét, hình dạng bên ngoài	Luân Quách
n2_advanced_drafts	batch_0461_0470	R_0463	語源	ごげん	nguồn gốc từ ngữ, từ nguyên	Ngữ Nguyên
n2_advanced_drafts	batch_0461_0470	R_0463	愛護	あいご	bảo vệ, che chở, yêu thương bảo dưỡng	Ái Hộ
n2_advanced_drafts	batch_0461_0470	R_0463	動物行動学	どうぶつこうどうがく	tập tính học động vật, ethology	Động Vật Hành Động Học
n2_advanced_drafts	batch_0461_0470	R_0463	幼体	ようたい	con non, cá thể non	Ấu Thể
n2_advanced_drafts	batch_0461_0470	R_0463	衝動	しょうどう	thôi thúc, xung động	Xung Động
n2_advanced_drafts	batch_0461_0470	R_0463	重圧	じゅうあつ	áp lực nặng nề	Trọng Áp
n2_advanced_drafts	batch_0461_0470	R_0463	潜在的	せんざいてき	tiềm ẩn, tiềm tàng	Tiềm Tại Đích
n2_advanced_drafts	batch_0461_0470	R_0463	防衛機制	ぼうえいきせい	cơ chế phòng vệ (tâm lý học)	Phòng Vệ Ki Chế
n2_advanced_drafts	batch_0461_0470	R_0463	攻撃性	こうげきせい	tính hung hăng, hung tính	Công Kích Tính
n2_advanced_drafts	batch_0461_0470	R_0463	軋轢	あつれき	xung đột, ma sát, bất hoà	Nghát Lịch
n2_advanced_drafts	batch_0461_0470	R_0463	脆弱性	ぜいじゃくせい	tính dễ tổn thương, sự mong manh	Thúy Nhược Tính
n2_advanced_drafts	batch_0461_0470	R_0463	エスケーピズム	エスケーピズム	escapism, trốn thoát thực tại	
n2_advanced_drafts	batch_0461_0470	R_0463	過剰	かじょう	quá mức, thái quá	Quá Thặng
n2_advanced_drafts	batch_0461_0470	R_0464	拠り所	よりどころ	chỗ dựa, nơi nương tựa	Cứ Sở
n2_advanced_drafts	batch_0461_0470	R_0464	崇める	あがめる	tôn sùng, kính ngưỡng	Sùng
n2_advanced_drafts	batch_0461_0470	R_0464	畏敬	いけい	sự kính sợ, lòng tôn kính	Úy Kính
n2_advanced_drafts	batch_0461_0470	R_0464	富嶽三十六景	ふがくさんじゅうろっけい	Ba mươi sáu cảnh núi Phú Sĩ (tác phẩm của Hokusai)	Phú Nhạc Tam Thập Lục Cảnh
n2_advanced_drafts	batch_0461_0470	R_0464	泰然	たいぜん	điềm nhiên, bình thản	Thái Nhiên
n2_advanced_drafts	batch_0461_0470	R_0464	儚さ	はかなさ	sự phù du, tính mong manh	Mộng
n2_advanced_drafts	batch_0461_0470	R_0464	敬慕	けいぼ	lòng kính yêu, sự ngưỡng mộ tôn kính	Kính Mộ
n2_advanced_drafts	batch_0461_0470	R_0464	霊峰	れいほう	linh sơn, ngọn núi thiêng	Linh Phong
n2_advanced_drafts	batch_0461_0470	R_0464	修験道	しゅげんどう	Shugendo (tu hành trong núi)	Tu Nghiệm Đạo
n2_advanced_drafts	batch_0461_0470	R_0464	富士講	ふじこう	Fujiko (tín ngưỡng thờ núi Phú Sĩ)	Phú Sĩ Giảng
n2_advanced_drafts	batch_0461_0470	R_0464	希薄	きはく	loãng nhạt, mờ nhạt	Hi Bạc
n2_advanced_drafts	batch_0461_0470	R_0464	入山規制	にゅうざんきせい	quy định hạn chế vào núi	Nhập San Quy Chế
n2_advanced_drafts	batch_0461_0470	R_0464	営み	いとなみ	hoạt động, sinh hoạt	Doanh
n2_advanced_drafts	batch_0461_0470	R_0464	普遍的	ふへんてき	mang tính phổ quát, toàn cầu	Phổ Biến Đích
n2_advanced_drafts	batch_0461_0470	R_0465	幽霊	ゆうれい	ma, hồn ma (yuurei — ma người chết mang oán hận, khác ghost phương Tây)	U Linh
n2_advanced_drafts	batch_0461_0470	R_0465	恨み	うらみ	oán hận, oán thù (cảm xúc tiêu cực còn đọng lại sau khi chết)	Hận
n2_advanced_drafts	batch_0461_0470	R_0465	死生観	しせいかん	quan niệm về sinh tử, cách nhìn về sự sống và cái chết	Tử Sanh Quan
n2_advanced_drafts	batch_0461_0470	R_0465	浮かばれない	うかばれない	không siêu thoát được, không thể thành Phật (hồn ma bị trói buộc)	Phù
n2_advanced_drafts	batch_0461_0470	R_0465	百物語怪談会	ひゃくものがたりかいだんかい	Hội kể chuyện ma Trăm Câu (nghi lễ kể 100 chuyện kinh dị thời Edo)	Bách Vật Ngữ Quái Đàm Hội
n2_advanced_drafts	batch_0461_0470	R_0465	怨念	おんねん	oán niệm, mối hận thù dai dẳng (mạnh hơn 恨み, mang tính siêu nhiên)	Oán Niệm
n2_advanced_drafts	batch_0461_0470	R_0465	穢れ	けがれ	ô uế, nhơ bẩn (khái niệm Thần đạo — không gian mất đi sự thanh khiết)	Uế
n2_advanced_drafts	batch_0461_0470	R_0465	依り代	よりしろ	vật/nơi linh hồn nương náu, chỗ trú ngụ của linh hồn	Y Đại
n2_advanced_drafts	batch_0461_0470	R_0465	成仏	じょうぶつ	thành Phật, siêu thoát (linh hồn được giải thoát khỏi thế giới này)	Thành Phật
n2_advanced_drafts	batch_0461_0470	R_0465	アーキタイプ	アーキタイプ	nguyên mẫu, archetype (mẫu nhân vật/biểu tượng cơ bản của văn hoá)	
n2_advanced_drafts	batch_0461_0470	R_0465	哀惜	あいせき	niềm thương tiếc, sự xót xa (cảm xúc đồng cảm với người bất hạnh)	Ai Tích
n2_advanced_drafts	batch_0461_0470	R_0465	怪異	かいい	điều kỳ dị, hiện tượng quái dị siêu nhiên	Quái Dị
n2_advanced_drafts	batch_0461_0470	R_0466	甘え	あまえ	amae - tâm lý nương tựa, muốn được chiều chuộng	Cam
n2_advanced_drafts	batch_0461_0470	R_0466	原型	げんけい	nguyên mẫu, hình mẫu gốc	Nguyên Hình
n2_advanced_drafts	batch_0461_0470	R_0466	退行	たいこう	thoái lui, quay lại trạng thái cũ (thuật ngữ tâm lý)	Thối Hành
n2_advanced_drafts	batch_0461_0470	R_0466	潤滑油	じゅんかつゆ	chất bôi trơn (nghĩa bóng: yếu tố giúp quan hệ suôn sẻ)	Nhuận Hoạt Du
n2_advanced_drafts	batch_0461_0470	R_0466	孕む	はらむ	tiềm ẩn, mang trong mình	Dựng
n2_advanced_drafts	batch_0461_0470	R_0466	土壌	どじょう	nền tảng, mảnh đất (nghĩa bóng: môi trường văn hóa)	Thổ Nhưỡng
n2_advanced_drafts	batch_0461_0470	R_0466	自律	じりつ	tự chủ, tự điều chỉnh bản thân	Tự Luật
n2_advanced_drafts	batch_0461_0470	R_0466	照射	しょうしゃ	soi chiếu, chiếu sáng	Chiếu Xạ
n2_advanced_drafts	batch_0461_0470	R_0466	転移	てんい	chuyển di (thuật ngữ tâm lý học - transference)	Chuyển Di
n2_advanced_drafts	batch_0461_0470	R_0466	脆弱性	ぜいじゃくせい	sự dễ tổn thương, tính dễ vỡ	Thúy Nhược Tính
n2_advanced_drafts	batch_0461_0470	R_0466	逸脱	いつだつ	sự lạc lõng, lệch khỏi chuẩn mực	Dật Thoát
n2_advanced_drafts	batch_0461_0470	R_0466	洞察	どうさつ	sự thấu hiểu sâu sắc, cái nhìn sâu sắc	Động Sát
n2_advanced_drafts	batch_0461_0470	R_0467	無常	むじょう	vô thường, sự không trường tồn	Vô Thường
n2_advanced_drafts	batch_0461_0470	R_0467	もののあわれ	もののあわれ	mono no aware, cảm xúc trước vẻ đẹp phù du	
n2_advanced_drafts	batch_0461_0470	R_0467	本居宣長	もとおりのりなが	Motoori Norinaga (học giả Nhật thế kỷ 18)	Bản Cư Tuyên Trường
n2_advanced_drafts	batch_0461_0470	R_0467	はかない	はかない	phù du, mong manh, thoáng qua	
n2_advanced_drafts	batch_0461_0470	R_0467	余白	よはく	khoảng trắng, không gian trống	Dư Bạch
n2_advanced_drafts	batch_0461_0470	R_0467	削ぎ落とす	そぎおとす	gọt bỏ, loại bỏ phần thừa	Tước Lạc
n2_advanced_drafts	batch_0461_0470	R_0467	切れ	きれ	kire, đứt gãy có chủ ý trong haiku	Thiết
n2_advanced_drafts	batch_0461_0470	R_0467	切れ字	きれじ	kire-ji, từ tạo đứt gãy (や, かな, けり...)	Thiết Tự
n2_advanced_drafts	batch_0461_0470	R_0467	感受性	かんじゅせい	cảm thụ lực, sự nhạy cảm	Cảm Thụ Tính
n2_advanced_drafts	batch_0461_0470	R_0467	音節	おんせつ	âm tiết	Âm Tiết
n2_advanced_drafts	batch_0461_0470	R_0467	省略	しょうりゃく	sự lược bỏ, rút gọn	Tỉnh Lược
